instruction,input,output
อาหารที่ควรหลีกเลี้ยง คืออาหารที่มีไขมันแฝงอยู่มาก ได้แก่ อาหารทอด เช่น ไก่ทอด ไข่เจียว ,,ถูกต้อง
อาหารที่ควรหลีกเลี้ยง คืออาหารที่มีไขมันแฝงอยู่มาก ได้แก่ อาหารทอด เช่น ไก่ทอด ไข่เจียว ใช่หรือ ไม่,,ถูกต้อง
อาหารที่ควรหลีกเลี้ยง คืออาหารที่มีไขมันแฝงอยู่มาก ได้แก่ อาหารทอด เช่น ไก่ทอด ไข่เจียว ถูกต้อง หรือ ไม่,,ถูกต้อง
อาหารที่ควรหลีกเลี่ยง ขนมหวานที่มีส่วนประกอบของน้ำตาลและกะทิ ,,ถูกต้อง
อาหารที่ควรหลีกเลี่ยง ขนมหวานที่มีส่วนประกอบของน้ำตาลและกะทิ ใช่หรือ ไม่,,ถูกต้อง
อาหารที่ควรหลีกเลี่ยง ขนมหวานที่มีส่วนประกอบของน้ำตาลและกะทิ ถูกต้อง หรือ ไม่,,ถูกต้อง
อาหารที่ควรหลีกเลี่ยง ไขมันที่ได้จากสัตว์ เช่น เน้ือสัตว์ติดมัน หนังเป็ด หนังไก่ ไข่แดง แฮม เบคอน,,ถูกต้อง
อาหารที่ควรหลีกเลี่ยง ไขมันที่ได้จากสัตว์ เช่น เน้ือสัตว์ติดมัน หนังเป็ด หนังไก่ ไข่แดง แฮม เบคอน ใช่หรือ ไม่,,ถูกต้อง
อาหารที่ควรหลีกเลี่ยง ไขมันที่ได้จากสัตว์ เช่น เน้ือสัตว์ติดมัน หนังเป็ด หนังไก่ ไข่แดง แฮม เบคอน ถูกต้อง หรือ ไม่,,ถูกต้อง
อาหารที่ควรหลีกเลี่ยง อาหารที่มีไขมันที่มองไม่เห็น ได้แก่ นม ไข่แดง กะทิ ไส้กรอก,,ถูกต้อง
อาหารที่ควรหลีกเลี่ยง อาหารที่มีไขมันที่มองไม่เห็น ได้แก่ นม ไข่แดง กะทิ ไส้กรอก ใช่หรือ ไม่,,ถูกต้อง
อาหารที่ควรหลีกเลี่ยง อาหารที่มีไขมันที่มองไม่เห็น ได้แก่ นม ไข่แดง กะทิ ไส้กรอก ถูกต้อง หรือ ไม่,,ถูกต้อง
โรคความดันโลหิตสูง ควร ลดการรับประทานอาหารรสเค็มจัด หรืออาหารที่มีโซเดียมสูง,,ถูกต้อง
โรคความดันโลหิตสูง ควร ลดการรับประทานอาหารรสเค็มจัด หรืออาหารที่มีโซเดียมสูง ใช่ หรือ ไม่,,ถูกต้อง
โรคความดันโลหิตสูง ควร ลดการรับประทานอาหารรสเค็มจัด หรืออาหารที่มีโซเดียมสูง ถูกต้อง หรือ ไม่,,ถูกต้อง
การดื่มเครื่องดื่มที่มีแอลกอฮอล์จะส่งผลให้ความดันโลหิตสูงมากขึ้น,,ถูกต้อง
การดื่มเครื่องดื่มที่มีแอลกอฮอล์จะส่งผลให้ความดันโลหิตสูงมากขึ้น ใช่หรือ ไม่,,ถูกต้อง
การดื่มเครื่องดื่มที่มีแอลกอฮอล์จะส่งผลให้ความดันโลหิตสูงมากขึ้น ถูกต้อง หรือ ไม่,,ถูกต้อง
การดื่มเครื่องดื่มที่มีแอลกอฮอล์จะส่งผลให้ความดันโลหิตตำ่ลง,,ผิด ไม่ถูกต้อง 
การดื่มเครื่องดื่มที่มีแอลกอฮอล์จะส่งผลให้ความดันโลหิตตำ่ลง ใช่หรือ ไม่,,ผิด ไม่ถูกต้อง 
การดื่มเครื่องดื่มที่มีแอลกอฮอล์จะส่งผลให้ความดันโลหิตตำ่ลง ถูกต้อง หรือไม่,,ผิด ไม่ถูกต้อง 
การออกกำลังกายช่วยให้ระบบหมุนเวียนเลือดในร่างกายไหลเวียนดีขึ้น,,ถูกต้อง
การออกกำลังกายช่วยให้ระบบหมุนเวียนเลือดในร่างกายไหลเวียนดีขึ้น ใช่หรือ ไม่,,ถูกต้อง
การออกกำลังกายช่วยให้ระบบหมุนเวียนเลือดในร่างกายไหลเวียนดีขึ้น ถูกต้อง หรือ ไม่,,ถูกต้อง
การออกกำลังกายช่วยให้ระบบหมุนเวียนเลือดในร่างกายไหลเวียนแย่ลง ,,ผิด ไม่ถูกต้อง 
การออกกำลังกายช่วยให้ระบบหมุนเวียนเลือดในร่างกายไหลเวียนแย่ลง ใช่หรือ ไม่,,ผิด ไม่ถูกต้อง 
การออกกำลังกายช่วยให้ระบบหมุนเวียนเลือดในร่างกายไหลเวียนแย่ลง ถูกต้อง หรือไม่,,ผิด ไม่ถูกต้อง 
ออกกำลังกายสม่ำเสมอ ลดระดับไตรกลีเซอไรด์และเพิ่มระดับเอชดีเอล,,ถูกต้อง
ออกกำลังกายสม่ำเสมอ ลดระดับไตรกลีเซอไรด์และเพิ่มระดับเอชดีเอล ถูกต้อง หรือ ไม่,,ถูกต้อง
ออกกำลังกายสม่ำเสมอ ลดระดับไตรกลีเซอไรด์และเพิ่มระดับเอชดีเอล ใช่หรือ ไม่,,ถูกต้อง
ออกกำลังกายสม่ำเสมอ เพิ่มระดับไตรกลีเซอไรด์และเพิ่มระดับเอชดีเอล,,ผิด ไม่ถูกต้อง 
ออกกำลังกายสม่ำเสมอ เพิ่มระดับไตรกลีเซอไรด์และเพิ่มระดับเอชดีเอล ใช่หรือ ไม่,,ผิด ไม่ถูกต้อง 
ออกกำลังกายสม่ำเสมอ เพิ่มระดับไตรกลีเซอไรด์และเพิ่มระดับเอชดีเอล ถูกต้อง หรือไม่,,ผิด ไม่ถูกต้อง 
ความดันโลหิตสูงเกิดจาก ความเครียดวิตกกังวล,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก ความเครียดวิตกกังวล ใช่หรือ ไม่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก ความเครียดวิตกกังวล ถูกต้อง หรือ ไม่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก สูบบุหรี่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก สูบบุหรี่ ใช่หรือ ไม่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก สูบบุหรี่ ถูกต้อง หรือ ไม่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก โรคอ้วน,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก โรคอ้วน ใช่หรือ ไม่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก โรคอ้วน ถูกต้อง หรือ ไม่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก กินอาหารท่ีมีโซเดียมมากเกินไป,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก กินอาหารท่ีมีโซเดียมมากเกินไป ใช่หรือ ไม่ใช่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก กินอาหารท่ีมีโซเดียมมากเกินไป ถูกต้อง หรือ ไม่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก กินยาบางชนิด เช่น ยาคุมกำเนิด ยาสเตียรอยด์ ยาบ้า โคเคน,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก กินยาบางชนิด เช่น ยาคุมกำเนิด ยาสเตียรอยด์ ยาบ้า โคเคน ใช่หรือ ไม่,,ถูกต้อง
ความดันโลหิตสูงเกิดจาก กินยาบางชนิด เช่น ยาคุมกำเนิด ยาสเตียรอยด์ ยาบ้า โคเคน ถูกต้อง หรือ ไม่,,ถูกต้อง
โซเดียมมีผลต่อร่างกาย ทำให้กักเก็บน้ำไว้ในร่างกายมากขึ้น หรือบวมน้ำ,,ถูกต้อง
โซเดียมมีผลต่อร่างกาย ทำให้กักเก็บน้ำไว้ในร่างกายมากขึ้น หรือบวมน้ำ ใช่หรือ ไม่,,ถูกต้อง
โซเดียมมีผลต่อร่างกาย ทำให้กักเก็บน้ำไว้ในร่างกายมากขึ้น หรือบวมน้ำ ถูกต้อง หรือ ไม่,,ถูกต้อง
โซเดียมมีอยู่ในอาหารที่มีรสเค็มเท่าน้ัน,,ผิด ไม่ถูกต้อง 
โซเดียมมีอยู่ในอาหารที่มีรสเค็มเท่าน้ัน ใช่หรือ ไม่,,ผิด ไม่ถูกต้อง 
โซเดียมมีอยู่ในอาหารที่มีรสเค็มเท่าน้ัน ถูกต้อง หรือ ไม่,,ผิด ไม่ถูกต้อง 
โซเดียมมีผลต่อร่างกาย ทำให้กำจัดน้ำไว้ในร่างกาย,,ผิด ไม่ถูกต้อง 
โซเดียมมีผลต่อร่างกาย ทำให้กำจัดน้ำไว้ในร่างกาย ใช่หรือ ไม่,,ผิด ไม่ถูกต้อง 
โซเดียมมีผลต่อร่างกาย ทำให้กำจัดน้ำไว้ในร่างกาย ถูกหรือ ไม่,,ผิด ไม่ถูกต้อง 
การลดน้ำหนัก ต้องกินอาหารให้พลังงานลดลงกว่าพลังงานที่ใช้,,ถูกต้อง
การลดน้ำหนัก ต้องกินอาหารให้พลังงานลดลงกว่าพลังงานที่ใช้ ใช่หรือ ไม่,,ถูกต้อง
การลดน้ำหนัก ต้องกินอาหารให้พลังงานลดลงกว่าพลังงานที่ใช้ ถูกต้อง หรือ ไม่,,ถูกต้อง
การลดน้ำหนัก ต้องกินอาหารให้พลังงานเพิ่มขึ้นกว่าพลังงานที่ใช้ ถูกหรือ มัย,,ผิด ไม่ถูกต้อง 
การลดน้ำหนัก ต้องกินอาหารให้พลังงานเพิ่มขึ้นกว่าพลังงานที่ใช้ ใช่หรือ ไม่,,ผิด ไม่ถูกต้อง 
ทำไมต้องควบคุมการกินอาหารก่อนการล้างไต,,"การควบคุมอาหาร จะได้ประโยชน์ 5 ประการ คือ
 1. ลดการทำงานของไต ทำให้ชะลอการเสื่อมของไตได้
 2. ลดการคั่งของของเสียที่เกิดจากอาหารโปรตีน
 3. ป้องกันการขาดสารอาหาร
 4. ยืดเวลาที่ต้องฟอกเลือดหรือล้างไตออกไป
 5. ช่วยให้มีสุขภาพดีและมีคุณภาพชีวิตที่ดี"
ผู้ป่วยโรคไตควรจำกัดน้ำหรือไม่,,"ผู้ป่วยโรคไตถ้าไม่บวม ไม่ต้องจำกัดน้ำ และสามารถกินน้ำได้ตามปกติเหมือนคนทั่วไปคือ 6-8 แก้ว
ต่อวัน และหากเป็นโรคนิ่วที่ไต ควรกินน้ำให้มากขึ้น คือ 8-12 แก้วต่อวัน แต่ถ้ามีอาการบวม
ปัสสาวะไม่ออก จากการที่ไตเสื่อมมาก ต้องจำกัดน้ำตามที่แพทย์สั่ง"
ผู้ป่วยโรคไต กินยาสมุนไพร ใบกระวานฮอก และแปะตำปึง เพื่อลดระดับของเสีย ได้หรือไม่,,"โดยทั่วไปไม่แนะนำยาสมุนไพรสำหรับผู้ที่เป็นโรคไต เนื่องจากยังไม่มีข้อมูลทางการแพทย์ที่มีการวิจัย
อย่างเป็นระบบและมีแบบแผนว่า ยาสมุนไพรจะมีผลดีต่อโรคไต อีกทั้งพบว่า มียาสมุนไพรหลายๆ ชนิด
ทำให้เกิดไตวายฉับพลันได้ และถ้ามีไตเสื่อมอยู่แล้ว เวลาเกิดไตวายฉับพลัน แม้ว่าหยุดยาดังกล่าว
ไตอาจจะไม่ฟื้นคืนสู่ของเดิมได้"
ผู้ป่วยโรคไตเรื้อรังควรกินโซเดียมวันละเท่าไร,,"ผู้ป่วยโรคไตเรื้อรังควรจำกัดปริมาณโซเดียมไม่เกินวันละ 2,000 มิลลิกรัม ควรหลีกเลี่ยงอาหาร
และเครื่องปรุงที่มีปริมาณโซเดียมสูง หากกินอาหารประเภทซุป เช่น ก๋วยเตี๋ยว แกงต่างๆ ควรกินน้ำซุปแต่น้อย
เพราะที่จริงแล้วน้ำซุปมีโซเดียมอยู่สูงมากจากเครื่องปรุงรสเค็มและผงปรุงรสหรือซุป"
โพแทสเซียม คืออะไร,,"โพแทสเซียม คือ แร่ธาตุชนิดหนึ่งที่จำเป็นเพื่อใช้ในการควบคุมของเหลวภายในเซลล์ และควบคุมการทำงาน
ของระบบประสาทและกล้ามเนื้อโดยเฉพาะกล้ามเนื้อหัวใจ ผู้ป่วยโรคไตเรื้อรังที่มีการทำงานของไตลดลง ส่งผลให้
ไตไม่สามารถขับโพแทสเซียมออกได้ตามปกติ ทำให้ผู้ป่วยบางรายมีระดับโพแทสเซียมในเลือดสูง และอาจนำไปสู่
อาการกล้ามเนื้ออ่อนแรง หัวใจเต้นผิดปกติ หรือหยุดเต้นได้ ดังนั้น แพทย์อาจแนะนำให้ผู้ป่วยบางรายโดยเฉพาะมี
ไตเสื่อมมากหลีกเลี่ยงอาหารที่มีโพแทสเซียมสูง ได้แก่ ผลไม้บางชนิด รวมทั้งผักชนิดต่างๆ ดังนี้
ผลไม้ที่มีโพแทสเซียมสูง ที่ควรหลีกเลี่ยง : แก้วมังกร มะละกอ แคนตาลูป มะขามหวาน ทุเรียน ส้ม
ฝรั่ง สตรอเบอรี่ แตงโม ลำไย อโวคาโด น้ำส้ม น้ำสับปะรด น้ำแอปเปิ้ล น้ำทับทิม น้ำลูกพรุน
ผักที่มีโพแทสเซียมสูงที่ควรหลีกเลี่ยง : กะหล่ำดอก กะหล่ำปลีม่วง กระเจี๊ยบเขียว กระชาย ขิง แครอต
จมูกข้าว ถั่วฝักยาว ลูกยอ ใบขี้เหล็ก ใบและเมล็ดมะรุม บล็อกโคลี เผือก ฟักทอง มะเขือเทศ มะเขือเทศสีดา
มะเขือเปราะ มะเขือพวง มะเดื่อ มะระจีน มันแกว มันฝรั่ง มันเทศ ผักหวาน รากบัว วาซาบิ สะเดา สะตอ หัวปลี
หัวผักกาด (หัวไชเท้า) เห็ดกระดุม เห็ดโคน เห็ดตับเต่า เห็ดฟาง เห็ดหูหนู เห็ดเผาะ เห็ดเป๋าฮื้อ หอมแดง
หน่อไม้ แห้ว"
พิวรีน คืออะไร,,"พิวรีน (Purine) คือ สารประกอบชนิดหนึ่งในอาหาร เมื่อผ่านกระบวนการย่อยและการเผาผลาญอาหารแล้ว
จะได้เป็นกรดยูริก (Uric acid) โดยปกติร่างกายสามารถขับกรดยูริกออกทางปัสสาวะและอุจจาระแต่ในผู้ที่มีการทำงาน
ของไตลดลงจะมีการขับยูริกทางปัสสาวะลดลง เป็นผลให้มีระดับยูริกในเลือดสูง ซึ่งการมีระดับยูริกในเลือดสูง นำไปสู่
การเกิดโรคเกาต์ ข้ออักเสบ นิ่วในไต รวมถึงเพิ่มความเสื่อมของการทำงานของไต ผู้ป่วยโรคไตเรื้อรังควรจำกัดอาหาร
ที่มีพิวรีนสูง เพื่อช่วยลดระดับยูริกในเลือดลงได้ อาหารที่มีพิวรีนสูงที่ควรหลีกเลี่ยง ได้แก่ เครื่องในสัตว์ (หัวใจ ตับ
ตับอ่อน กึ่น เซ่งจี้ ไต) ปลาไส้ตัน ปลากระตัก ปลาดุก ปลาอินทรี ปลาทู ปลาแซลมอน หอยขม หอยโข่ง หอยสองฝา
กุ้งชีแฮ้ กะปิ ยอดผัก ใจผัก หน่อไม้ หน่อไม้ฝรั่ง นอกจากการจำกัดอาหารที่มีพิวรีนสูงแล้ว ยังควรหลีกเลี่ยงเครื่องดื่ม
ที่มีแอลกอฮอล์ทุกชนิด และเลือกกินอาหารที่มีไขมันต่ำร่วมด้วย เพื่อเป็นอีกแนวทางที่จะช่วยให้ระดับยูริกในเลือด
อยู่ในเกณฑ์ปกติได้"
ฟอสฟอรัส คืออะไร,,"ฟอสฟอรัส คือ แร่ธาตุชนิดหนึ่งที่สามารถพบได้ในอาหาร หากร่างกายได้รับในปริมาณที่มากเกินจะถูกขับ
ออกทางไต เมื่อไตขับฟอสฟอรัสได้น้อยลง อาจส่งผลให้ระดับฟอสฟอรัสในเลือดสูงซึ่งมีผลต่อการสลายแคลเซียม
ในกระดูกเป็นสาเหตุหนึ่งของการเกิดภาวะกระดูกบางและหักง่าย ดังนั้นผู้ป่วยโรคไตเรื้อรังควรหลีกเลี่ยงอาหาร
ที่มีปริมาณฟอสฟอรัสสูง"
โปรตีน คืออะไร,,"โปรตีน คือ สารอาหารที่ช่วยในการเสริมสร้าง และซ่อมแซมส่วนต่างๆ ของร่างกาย ช่วยให้ร่างกายมี
ภูมิต้านทานเชื้อโรค โดยปกติสามารถแบ่งโปรตีนที่กินออกเป็น 2 ประเภท ได้แก่
 1. โปรตีนที่มีคุณภาพดี (High Biological Value – HBV) คือ มีกรดอะมิโนจ าเป็นครบถ้วนตาม
ความต้องการของร่างกายและมีของเสียน้อย ไตจึงไม่ต้องทำงานหนัก แต่อย่างไรก็ตามผู้ป่วยควรจำกัดปริมาณ
ที่กินตามที่แพทย์/นักก าหนดอาหาร/บุคลากรทางการแพทย์แนะนำ อาหารในกลุ่มนี้ ได้แก่ ไข่ขาว และอาหาร
จำพวกเนื้อสัตว์ เช่น เนื้อปลา เนื้อไก่ เนื้อหมู เนื้อวัว ควรเลือกกินที่ไม่มีหนังและมันด้วย
 2. โปรตีนที่มีคุณภาพต่ำ (Low Biological Value – LBV) คือ มีกรดอะมิโนจำเป็นไม่ครบและมี
ของเสียมาก ไตต้องทำงานหนักในการกำจัดของเสียออกจากร่างกาย จึงควรกินในปริมาณน้อย ได้แก่ อาหาร
จำพวกอื่นที่ไม่ใช่เนื้อสัตว์ เช่น ถั่ว ธัญพืช เต้าหู้ โปรตีนเกษตร เป็นต้น"
โซเดียม คืออะไร,,"โซเดียม คือ แร่ธาตุที่มีความจำเป็นต่อร่างกาย ช่วยรักษาความสมดุลของน้ำในร่างกาย และความดันโลหิต
การกินโซเดียมมากเกินไปมีผลให้ความดันโลหิตสูง ไตทำงานหนักและเกิดภาวะบวมน้ำได้"
มีวิธีการปฏิบัติตัวอย่างไรเพื่อให้การทำงานของไตดีขึ้นได้บ้าง,,"การทำงานของไตที่ลดลงมาจากหลายสาเหตุ มีแบบที่ปรับเปลี่ยนได้และไม่ได้ ที่ปรับเปลี่ยนไม่ได้คือ
อายุ เมื่ออายุมาก ไตจะเสื่อมตามวัย ทำให้อัตราการกรองลดลงไปด้วย ส่วนที่ปรับเปลี่ยนได้ คือ
 1. ต้องไม่สูบบุหรี่เพราะการสูบบุหรี่ทำให้ไตเสื่อมเร็วขึ้น
 2. กินอาหารโปรตีนให้อยู่ประมาณ 0.6-0.8 กรัมต่อน้ำหนักตัว 1 กิโลกรัมต่อวัน เช่น ถ้ามีน้ำหนัก 60
กิโลกรัม ให้กินโปรตีน 36-48 กรัมต่อวัน เนื่องจากเวลากินอาหารโปรตีนมากไป จะทำให้ไตเรา
ต้องทำงานหนัก และไตจะเสื่อมเร็วขึ้นได้ กรณีที่มีไข่ขาวหรือโปรตีนรั่วทางปัสสาวะปริมาณมาก
แพทย์จะมีการปรับปริมาณโปรตีนที่ควรบริโภคตามความรุนแรงของโรคไต และปริมาณโปรตีนที่รั่ว
ออกมาทางปัสสาวะ
 3. ควบคุมความดันโลหิตให้ใกล้เคียงค่าปกติมากที่สุด (ต่ำกว่าหรือเท่ากับ 130/80 มิลลิเมตรปรอท)
โดยการลดอาหารเค็ม อาหารที่มีโชเดียมสูง รู้จักการอ่านฉลากโภชนาการ และกินยาตามที่แพทย์สั่ง
 4. ควบคุมคอเลสเทอรอลในเลือดตัวไม่ดี (LDL) ให้ต่ำกว่า 100 มิลลิกรัมต่อเดซิลิตร โดยการใช้ยา
ลดคอเลสเทอรอล และการควบคุมอาหารที่มีไขมันอิ่มตัวและคอเลสเทอรอลสูง
 5. ถ้าเป็นโรคเกาต์ ควรหลีกเลี่ยงอาหารที่มีปริมาณกรดยูริกสูง เช่น เหล้า เบียร์ สัตว์ปีกทุกชนิด
ยอดผัก ข้าวกล้องงอก อาหารทะเลแช่แข็ง ขนมปัง เนื่องจากนอกจากโรคเกาต์จะกำเริบแล้ว ยังมี
ข้อมูลทางการแพทย์พบว่า ปริมาณยูริคที่สูงอาจทำให้ไตเสื่อมเร็วขึ้นได้
 6. ควบคุมการใช้ยาแก้ปวด เนื่องจากยาแก้ปวดส่วนใหญ่ที่ไม่ใช่กลุ่มพาราเซดตามอล เช่น ยา
กลุ่ม NSIADS ทำให้ไตแย่ลงได้เนื่องจากอาจทำให้เกิดไตวายฉับพลันซ้ำเติมไตที่เสื่อมเรื้อรังได้
ดังนั้นไม่ควรซื้อยาแก้ปวดกินเอง รวมถึงยาสมุนไพรและยาลูกกลอนด้วย และเมื่อแพทย์จะจ่ายยา
แก้ปวด อย่าลืมสอบถามแพทย์ที่สั่งยาว่า ยานั้นมีผลต่อการทำงานของไตหรือไม่
 7. ถ้าเป็นเบาหวานต้องคุมเบาหวานให้ได้ หมั่นตรวจน้ำตาลเป็นช่วงๆ
 8. หากมีความจำเป็นต้องทำเอ็กซเรย์คอมพิวเตอร์ที่ต้องมีการฉีดสีสารทึบรังสี ให้ปรึกษาแพทย์โรคไต
ที่ดูแลก่อน เพื่อหาวิธีลดความเสี่ยงที่สารทึบรังสีจะทำร้ายไต"
วิธีการทำอาหารเพื่อลดโซเดียม,,การปรุงอาหารรับประทานเองสามารถควบคุมปริมาณโซเดียมที่บริโภคได้ ด้วยการลดปริมาณการใช้ เครื่องปรุงที่มีโซเดียมปริมาณสูง เช่น เกลือ ซีอิ๊ว น้ำปลา ผงชูรส ผงปรุงรส ซอสหอยนางรม แต่เพิ่มรสเปรี้ยว หรือรสเผ็ดแทน หรืออาจใช้เครื่องเทศต่างๆ เช่น พริก ยี่หร่า ตะไคร้ ใบมะกรูด จะช่วยทำให้อาหารมีรสชาติ มากขึ้น ในขณะที่ปริมาณโซเดียมลดลง
โซเดียมมีผลต่อร่างกายอย่างไร,,"โซเดียม เป็นแร่ธาตุตัวหนึ่งที่มีความจำเป็นต่อร่างกาย โดยโซเดียมทำหน้าที่ควบคุมความสมดุล ของของเหลวในร่างกาย รักษาความดันโลหิตให้อยู่ในระดับปกติ ช่วยในการทำงานของประสาทและ กล้ามเนื้อ (รวมถึง กล้ามเนื้อหัวใจด้วย) ตลอดจนการดูดซึมสารอาหารบางอย่างในไตและลำไส้เล็ก แต่ถ้าได้รับมากเกินไป จะส่งผลเสียมากกว่า ซึ่งมีผลเสียที่เกิดขึ้นดังนี้
1. ทำให้กักเก็บน้ำไว้ในร่างกายมากขึ้น หรือบวมน้ำ เกิดจากการที่ร่างกายไม่สามารถกำจัดเกลือและน้ำส่วนเกินในร่างกายได้ ทำให้แขนขาบวม เหนื่อยง่าย แน่นหน้าอก ในผู้ป่วยโรคหัวใจน้ำที่คั่งจะทำให้เกิดภาวะหัวใจวายมากขึ้น
2. ทำให้ความดันโลหิตสูงขึ้น ซึ่งความดันโลหิตสูงจะส่งผลต่อหลอดเลือดอวัยวะต่างๆ ทำให้เกิดอัมพฤกษ์ อัมพาต ไตวาย ตามมาได้
3. ทำให้ไตทำงานหนักขึ้น เกิดจากการเพิ่มการกำจัดโซเดียม และน้ำส่วนเกินออกจากร่างกาย ผลที่ตามมาคือ ไตเสื่อมเร็วขึ้น
ปริมาณโซเดียมที่แนะนำต่อวันคือ ไม่ควรกินเกิน 2,000 มิลลิกรัมของโซเดียม ซึ่งเท่ากับเกลือ 1 ช้อนชา หรือน้ำปลา ซีอิ๊ว ซอสปรุงรส คือ 4-5 ช้อนชา"
โซเดียมมีอยู่ในอาหารที่มีรสเค็มเท่านั้นหรือไม่,,"ไม่ใช่ โซเดียมมีอยู่ในอาหารตามธรรมชาติแทบทุกชนิด โดยเนื้อสัตว์ต่างๆ จะมีโซเดียมสูง ส่วนผลไม้ ทุกชนิด ผัก ธัญพืช ถั่วเมล็ดแห้ง และเนื้อปลาจัดเป็นอาหารที่มีโซเดียมตามธรรมชาติต่ำ ซึ่งอาหารสด เหล่านี้มีปริมาณโซเดียมที่เพียงพอกับความต้องการของร่างกาย โดยไม่จำเป็นต้องเติมเครื่องปรุงรส ใดๆ เลย อาหารที่มีโซเดียมอยู่มาก แบ่งออกเป็น 2 ประเภทใหญ่ๆ คือ ประเภทที่มีรสเค็ม และอาหาร ที่ไม่มีรสเค็ม 
1. โซเดียมในอาหารที่มีรสเค็ม ได้แก่ เกลือ ซอสปรุงรสที่มีรสเค็ม (เช่น ซีอิ๊วขาว เต้าเจี้ยว น้ำบูดู กะปิ ปลาร้า ปลาเจ่า เต้าหู้ยี้ รวมทั้งซอสหอยนางรม) ซอสปรุงรสที่ไม่มีรสเค็มหรือเค็มน้อย (เช่น ซอสมะเขือเทศ ซอสพริก น้ำจิ้มต่างๆ ที่มีรสเปรี้ยวๆ หวานๆ )
2. โซเดียมในอาหารที่ไม่มีรสเค็ม มีอาหารหลายชนิดที่ไม่มีรสเค็ม แต่มีโซเดียมแฝงอยู่สูงมาก ได้แก่
2.1 ผงชูรส เป็นสารปรุงแต่งที่ไม่มีรสเค็ม แต่ก็มีโซเดียมเป็นส่วนประกอบอยู่สูง อาหารสำเร็จรูป ต่างๆ ที่ขายในท้องตลาด หรืออาหารที่ทำเองในบ้าน มักมีการเติมผงชูรสลงไปแทบทุกชนิด เพื่อให้อาหารมีรสอร่อยขึ้น
2.2 อาหารกระป๋องต่างๆ เช่น ผลไม้กระป๋อง ปลากระป๋อง และอาหารสำเร็จรูปต่างๆ ขนม กรุบกรอบ ที่มักบรรจุอยู่ในถุง เป็นต้น มีการใส่สารกันบูดเพ่อให้อาหารเหล่าน้เก็บไว้ได้เป็นเวลานาน
2.3 อาหารที่ผ่านการแปรรูปที่สามารถเก็บอาหารนั้นไว้ได้นานๆ เช่น อาหารหมักดองต่างๆ ไส้กรอก หมูยอ แหนม เต้าเจี้ยว ถั่วเน่า ฯลฯ
2.4 อาหารกึ่งสำเร็จรูป เช่น บะหมี่ โจ๊ก ข้าวต้ม ซุปต่างๆ ทั้งชนิดก้อนและชนิดซอง
2.5 ขนมปัง ขนมเค้ก คุกกี้ ขนมอบที่มีการเติมผงฟู (Baking powder หรือ Baking soda) หรือสารกันเชื้อราลงไป
2.6 เครื่องดื่มเกลือแร่ น้ำแร่ สำหรับผู้ที่สูญเสียเหงื่อมาก น้ำผลไม้บรรจุกล่อง ขวด หรือกระป๋อง ที่มีการเติมสารกันบูด"
หากต้องกินข้าวนอกบ้านมีเทคนิคในการกินลดโซเดียมอย่างไร,,"หากต้องกินข้าวนอกบ้านจะมีวิธีการสั่งและเลือกอาหารดังนี้
1. อาหารตามสั่ง ควรระบุกับแม่ครัวว่ารสชาติไม่จัด และไม่ใส่ผงชูรส ไม่ควรใส่ซอส หรือพริกน้ำปลาเพิ่ม
2. ข้าวราดแกง ควรแยกแกงใส่ถ้วยเล็ก ไม่ราดบนข้าว ไม่ควรซดน้ำแกงหมดถ้วย ใส่น้ำพริก น้ำปลาเพิ่ม
3. ก๋วยเตี๋ยว ควรชิมก่อนปรุง ไม่ซดน้ำหมด ไม่ควรปรุงทันทีโดยไม่ชิม
4. อาหารต้องกินกับน้ำจิ้ม เช่น สุกี้ หมูกระทะ เป็นต้น ไม่ควรกินบ่อย นานๆ จึงจะเลือกกิน
5. อาหารบุฟเฟ่ต์ ควรเลือกอาหารที่มาจากธรรมชาติ หรือ ผ่านการแปรรูปน้อยที่สุด ไม่ควรกินอาหารรสจัด อาหารหมักดอง"
