instruction,input,output
ข้อใดต่อไปนี้ไม่ใช่อาหารจำพวกโปรตีนสูง,,กบ
ถ้าไม่มีนมโคสดจะดื่มเครื่องดื่มใดทดแทนเพื่อให้ได้รับสารอาหารคล้ายคลึงกัน,,น้ำนมถั่วเหลือง
การใช้น้ำเชื่อมแทนน้ำและน้ำตาลทรายในการผสมเครื่องดื่มมีประโยชน์อย่างไร,,ประหยัดเวลาในการผสมเครื่องดื่ม
น้ำผลไม้ใด เป็นแหล่งของวิตามินซี,,น้ำส้ม
ถ้าอยากให้ผิวสวยใส ควรดื่มเครื่องดื่มจากผักผลไม้ประเภทใด,,น้ำมะเขือเทศ
ผักกาดขาว แอปเปิลเขียว และน้ำสับปะรด เมื่อเอามาปั่นรวมกันจะช่วยในเรื่องใด,,แก้ท้องอืดหรือท้องเฟ้อ
อาหารชนิดไหนเป็นอาหารที่ดีต่อสุขภาพ,,อาหารคลีนๆ
หลักการดูแลสุขภาพที่ดีมีอะไรบ้างยกเว้นข้อใด,,"ทานวิตามินเสริม เมื่ออยู่ในช่วงทานอาหารเจ หรืออาหารมังสวิรัติ
กินอาหารมีประโยชน์ ให้ครบ 5 หมู่ ลดอาหารขยะ
ออกกำลังกายสม่ำเสมอ"
อาหารในข้อใดไม่จัดเป็นอาหารว่าง,,ราดหน้าหมู
หากผู้บริโภคได้รับสารอาหารในขนมขบเคี้ยวมากเกินไป เป็นปัจจัยเสี่ยงต่อการเกิดโรคใด,,โรคไต
หากร่างกายได้รับปริมาณวิตามินเอ และ เบต้าแคโรทีน จะทำให้มีผลอย่างไร,,"ปวดศีรษะ ปวดตามข้อ
ตับทำงานมากขึ้น
ในหญิงตั้งครรภ์ อาจทำให้ทารกในครรภ์เกิดความผิดปกติ"
การได้รับ ธาตุสังกะสี ในปริมาณสูง จะมีผลอย่างไรต่อร่างกาย,,ขัดขวางการดูดซึมทองแดง
การได้รับ ธาตุแคลเซียม ในปริมาณสูง จะมีผลอย่างไรต่อร่างกาย,,ยับยั้งการดูดซึมธาตุเหล็ก และสังกะสี
การรับประทานอาหารที่มีโปรตีนเยอะ ๆ จะทำให้อวัยวะใดทำงานมากเกินไป,,ตับ และไต
สารต้านโภชนาการ ถูกทำให้หมดไปได้ด้วยวิธีการใด,,การทำให้สุกด้วยความร้อน
ข้อใดเป็นสารสกัดจากธรรมชาติที่ใช้ในผลิตภัณฑ์อาหารเสริม,,"สาหร่าย
เมือกหอยทาก
รังไหม"
Tannins พบมากในอาหารประเภทใด,,"มะม่วง ละมุด อินทะผลัม
ชา กาแฟ และโกโก้
น้ำผลไม้ ไวน์"
น้ำมันของตัวอ่อนของแมลง สามารถนำมาใช้ในผลิตภัณฑ์ใดได้บ้าง,,ผลิตภัณฑ์เสริมความงาม
ประโยชน์ของน้ำมันของตัวอ่อนแมลงเฮอร์มิเทีย อิลูเซนต์,,"ลดการเกิดสิว
ต้านจุลินทรีย์
มีฤทธิ์ต้านอนุมูลอิสระ"
ข้อใด คือ ประโยชน์ของไข่ขาว,,มีคอเลสเตอรอลต่ำ
ข้อใด ไม่ใช่ ประเภทของเครื่องดื่มที่มีประโยชน์,,เครื่องดื่มประเภทแอลกอฮอล์
น้ำนมถั่วเหลืองจัดอยู่ในประเภทเครื่องดื่มประเภทใด,,เครื่องดื่มประเภทธัญพืช
โยเกิร์ต จัดอยู่ในประเภทของเครื่องดื่ประเภทใด,,เครื่องดื่มประเภทนม
ข้อใดจัดเครื่องดื่ม ไม่เหมาะสม,,จัดเครื่องดื่มในภาชนะที่มีราคาแพง ลวดลายสวยงาม
ไคโตซาน เราสกัดได้จากสารประเภทใด,,โครงสร้างแข็งในแมลง กุ้ง ปู
ข้อใดคือประโยชน์ของไคโตซาน,,"จับกรดไขมันอิสระ,ลดโคเลสเตอรอลและไขมันในเส้นเลือด,ทำให้ร่างกายดูดซึมไขมันน้อยลง"
แหล่งของคอลลาเจน มาจากที่ใด,,กระดูกอ่อน กระดูก ผิวหนังของสัตว์
หากต้องการควบคุมน้ำหนักควรบริโภคอาหารเสริมตัวไหน,,ไคโตซาน
รังนก ได้มาจากแหล่งไหน,,น้ำลายของนกนางแอ่น
อย. มีชื่อเต็มว่าอย่างไร,,สำนักงานคณะกรรมการอาหารและยา
อย. สังกัดอยู่ในกระทรวงใด,,กระทรวงสาธารณสุข
อย. มีหน้าที่ใด,,มีหน้าที่ปกป้องและคุ้มครองสุขภาพประชาชนจากการบริโภคผลิตภัณฑ์สุขภาพ
เราตรวจสอบได้อย่างไรว่าอาหารหรือยานั้นได้รับมาตรฐานจาก อย.,,เลข 13 หน้า บนฉลาก
Thai RDI คืออะไร,,สารอาหารที่แนะนำให้บริโภคประจำวันสำหรับคนไทยอายุตั้งแต่ 6 ปีขึ้นไป
Thai RDI คิดจากความต้องการพลังงงานอยู่ที่เท่าไร,,2000 kcal
หญิงตั้งครรภ์ ควรได้รับวิตามินอะไรเพิ่ม,,เหล็ก กรดโฟลิก แคลเซียม วิตามิน D
บุคคลที่สูบบุหรี่มาก ๆ ควรได้รับวิตามินอะไรเพิ่มเติม,,วิตามิน C
ส้มแขก มีฤทธิ์อย่างไร,,ช่วยให้ระบาย
อาหารใดช่วยในการซ่อมแซมกล้างเนื้อ และสร้างเนื้อเยือ,,ไข่ขาว
ข้อใดคือประโยชน์ของอาหารเสริมจากรกแกะ,,มีโปรตีนสูง
ไข่ขาวผง เหมาะสำหรับบุคคลใด,,คนที่ต้องการเสริมสร้างกล้ามเนื้อ
โอเมก้า 3 ในน้ำมันรำข้าวและจมูกข้าวมีข้อดีอย่างไร,,ช่วยบำรุงสมอง ป้องกันภาวะเสื่อมของสมอง และความจำ
ถ้าต้องการกระตุ้นให้ร่างกายสร้างเซลล์ใหม่ ควรรับประทานอาหารเสริมตัวใด,,อาหารเสริมจากสารสกัดจากรกแกะ
ข้อใดคือคุณสมบัติของไคโตซาน,,"ไม่เป็นพิษ,ดักจับไขมัน,ดูดซึมสารพิษในน้ำเสีย"
สารพิษที่เจือปนในอาหารข้อใด เมื่อได้รับความร้อนจะสลายตัวจนสามารถทานได้,,มันสำปะหลัง
สารปรุงแต่งที่เติมลงไปในอาหารเเล้วเป็นประโยชน์ต่อร่างกาย,,โพแทสเซียมไอโอไดในเกลือแกง
สารอะฟลาท็อกซิน พบมากในอาหารใด,,ถั่วลิสง
บุคคลในข้อใดเลือกบริโภคได้อย่างเหมาะสม,,นราดื่มนมร้อนก่อนนอนเป็นประจำทุกคืน
วิธีการทำให้น้ำใบเตยมีความแปลกใหม่ ข้อใดเหมาะสมมากที่สุด,,เติมวุ้นใบเตยตัดเป็นชิ้นๆใส่ลงในน้ำใบเตย
เรานิยมใช้ไคโตซานในผลิตภัณฑ์ใด,,"ยาสีฟัน,ครีมกันแดด,ยาย้อมผม"
สารสกัดใดที่มีคุณสมบัติดักจับไขมันในระบบทางเดินอาหาร,,ไคโตซาน
ข้อใดเป็นสารสกัดจากเปลือกกุ้ง,,ไคโตซาน
ข้อใดเป็นประโยชน์ของไคโตซาน,,เร่งการเจริญเติบโตของสัตว์น้ำ
ในวันปกติทุกคนควรดื่มน้ำอย่างน้อยวันละกี่แก้ว,,6-8 แก้ว
ถ้าไม่มีนมโคสดจะดื่มเครื่องดื่มใดทดแทนเพื่อให้ได้รับสารอาหารคล้ายคลึงกัน,,น้ำนมถั่วเหลือง
การใช้น้ำเชื่อมแทนน้ำและน้ำตาลทรายในการผสมเครื่องดื่มมีประโยชน์อย่างไร,,ประหยัดเวลาในการผสมเครื่องดื่ม
ถ้าต้องการตกแต่งแก้วน้ำแตงโมให้สวยงามนักเรียนจะทำอย่างไร.,,หั่นแตงโมเป็นชิ้นสามเหลี่ยมเสียบปากแก้ว
อาหารที่ควรหลีกเลี่ยงเพื่อลดความชรา,,อาหารไขมันสูง
บุคคลใดไม่ควรทานสารกัดจากไคโตซาน,,ผู้ที่แพ้อาหารทะเล
อาหารที่มีโอเมก้า 3 ป้องกันโรคความดันโลหิตสูง,,ปลานิล
ข้อใดไม่ใช่เป็นการป้องกันโรคกระดูกพรุน,,การดื่มน้ำอัดลมประจำ
ขอตัวอย่างอาหารจากภาคใต้,,แกงฮังเล     
ขอตัวอย่างเมนูแกงจืด,,แกงจืดฟักเขียวหมูสับ แกงจืดสามสหาย แกงจืดผักหวานไก่สับ
ตัวอย่างเมนูที่มีกระเทียม,,ข้าวผัดกระเทียมกะเพรา
ประโยชน์ของไก่,,เป็นแหล่งของแร่ธาตุซีลีเนียม ช่วยเสริมสร้างระบบภูมิคุ้มกันโรค ป้องกันการติดเชื้อ
วิธีการทำข้าวผัดกระเทียมกะเพรา,,"1. ตั้งกระทะใส่น้ํามัน ผัดกระเทียมกับพริกขี้หนูก่อนจนหอม
2. เติมน้ําซุป จากนั้นใส่ไก่ผัดให้เข้ากัน ตามด้วยข้าวกล่อง
3. คลุกเคล้าให้เข้ากัน ปรุงรสด้วยน้ําตาล ซอสปรุงรส
4. ผัดจนเข้ากันดี ใส่ใบกะเพราผัดจนสุก ตักใส่จาน กินขณะยังร้อน"
ตัวอย่างเมนูจากลาบสุขภาพ,,ลาบปลาดุก ลาบปลานิล
วิธีการทำลาบปลา,,"1. ยีเนื้อปลาใส่จานไว้
2. ผสมมะนาว ซีอิ๊วขาว พริกขี้หนูป่น ให้เข้ากัน
3. ใส่เนื้อปลาดุก เคล้าให้เข้ากัน ใส่หอมแดง ผักชีลาว ต้นหอม เสิร์ฟคู่กับถั่วฝักยาว และกินกับข้าวสวยร้อน ๆ"
บอกประโยชน์ของปลาดุก,,ปลาดุก มีซีลีเนียมสูง ช่วยเสริมสร้างระบบภูมิคุ้มกันโรค
ขอเมนูจากเห็ดหอม,,เห็ดหอมโรยงา
ประโยชน์ของเห็ดหอมมีอะไรบ้าง,,มีวิตามินดีสูง ช่วยให้กระดูกแข็งแรง เสริมสร้างระบบภูมิคุ้มกันโรค
ขอเมนูแกงจืดสุขภาพ,หมู,แกงจืดฟักเขียวหมูสับ
ขอวิธีทำแกงจืดฟักเขียวหมูสับ,,"1. นําฟักเขียวมาปอกเปลือก คว้านไส้ออก หั่นเป็นชิ้นขนาด 1 นิ้ว
2. นําเห็ดหอมแช่น้ําจนนิ่ม แล้วหั่นเป็นเสน สับหมูสันในปั้นเป็นก้อน
3. นําน้ําซุปตั้งไฟพอเดือด ใส่รากผักชี กระเทียม ปรุงรสด้วยซีอิ๊วขาว ใส่หมูสับปั้นก้อน
4. ใส่ฟักเขียวตามจนฟักนุ่ม และเห็ดหอมรอเดือดยกลง เวลาเสิร์ฟโรยด้วยผักชีและพริกไทยป่น ใบขึ้นฉ่าย กินกับข้าวสวยร้อน ๆ"
ประโยชน์ของเนื้อหมูสันใน,,มีสังกะสีสูง ช่วยเสริมสร้างระบบภูมิคุ้มกัน
ขอตัวอย่างแกงจืด,,แกงจืดสามสหาย
ขอส่วนผสมแกงจืดสามสหาย,,"1. เนื้อปลา หั่นบาง ๆ 100 กรัม
2. กุ้งผ่าครึ่งตัวตามยาว 80 กรัม
3. เนื้อไก่หั่นบาง ๆ 100 กรัม
4. รากผักชีโขลกละเอียด 12 กรัม
5. กระเทียมโขลกละเอียด 20 กรัม
6. ต้นหอม 40 กรัม
7. ผักชี 20 กรัม
8. กะหล่ำปลี 280 กรัม
9. ซีอิ๊วขาวเสริมไอโอดีน 15 กรัม
10. แครอท 20 กรัม"
วิธีการทำแกงจืดสามสหาย,,"1. นําเนื้อปลา ไก่ และกุ้งลวก ที่หั่นบาง ๆ วางซ้อนกัน ห่อดด้วยใบกะหล่ําปลีที่ลวกแล้ว แล้วมัดเข้าด้วยกัน ด้วยใบต้นหอมลวก
2. ใส่น้ำลงในหม้อ ตั้งไฟพอเดือด ใส่รากผักชี กระเทียมที่โขลกแล้วลงไป ตามด้วยใส่กะหล่ําปลี ที่มัดแล้ว ลงในหม้อต้มพอเดือดอีกครั้ง ใส่แครอท
ปรุงรสด้วยซีอิ๊วขาว โรยหน้าด้วยต้นหอม ผักชีตักใส่ถ้วย กินกับข้าวสวยร้อน ๆ"
แนะนำเมนูแบบกำหนดแคลอรี่,83,แกงจืดผักหวานไก่สับ
ขอเมนูกะเพรา,,ข้าวกล้องราดกะเพราไก่สมุนไพร
แนะนำเมนูต้มจากมะเขือเทศ,,ต้มซุปไก่มะเขือเทศ
ตัวอย่างเมนูผัดสุขภาพ,,"ผัดบวบใส่ไก่, ผัดขิงปลา"
ขอเมนูผัดสุขภาพจากขิง,,ผัดขิงปลา
ประโยชน์จากขิงมีอะไรบ้าง,,ขิง มีสารจินเจอรอล (Gingerol) ช้วยต้านการอักเสบ และต้านจุลินทรีย์ก่อโรค
ปลานิล ให้สารอาหารอะไรบ้าง,,ปลานิลมีวิตามินดี ช่วยเสริมสร้างระบบภูมิคุ้มกัน
สารอาหารที่มีในปลาทู คืออะไร,,ปลาทู เป็นแหล่งของธาตุซีลีเนียม เป็นสารต้านอนุมูลอิสระ เสริมสร้างระบบภูมิคุ้มกัน
แนะนำตัวอย่างอาหารที่มีส่วนผสมของปลาทู,,ปลาทูทอดขมิ้น
แนะนำเมนูที่มีผักหลายชนิด,,แกงเลียงผักรวม
จะทำแกงเลียง ต้องเตรียมอะไรบ้าง,,"1. หอมแดง 10 กรัม
2. กะปิ 5 กรัม
3. พริกไทยเม็ดป่น 5 กรัม
4. ปลาทูย่างแกะเอาแต่เนื้อ 90 กรัม
5. กระชายสด 50 กรัม
6. ใบแมงลัก 30 กรัม
7. หัวปลีหั่นหยาบ 50 กรัม
8. บวบเหลี่ยม เห็ดฟาง ตําลึง ปวยเลีง ผักโขม ตามชอบ
9. น้ําซุป เกลือ ซอสปรุงรสเสริมไอโอดีน ตามชอบ"
ผักโขม มีประโยชน์อะไรบ้าง,,มีเบตาแคโรทีนสูง ทําให้ภูมิคุ้มกันแข็งแรง
เมนูที่มีองค์ประกอบของผักโขม,,แกงเลียง
ขอเมนูผัดใส่ไข่,,ผัดมะระขี้นกใส่ไข่
ขอเมนูยำ 1  เมนู,,ยำปลาทู
แนะนำเมนูผัด ผักเยอะๆ,,ผัดผัก 5 สี
จะทำเมนูผัดผัก ควรเตรียมวัตถุดิบอะไรบ้าง ให้ได้สารอาหารครบ,,"1. ดอกกะหล่ำ 40 กรัม
2. พริกหวานสีเหลือง 80 กรัม
3. มะเขือเทศ 80 กรัม
4. แครอท 80 กรัม
5. บรอกโคลี 80 กรัม
6. กระเทียม 10 กรัม
7. น้ำมันถั่วเหลือง 20 กรัม
8. ซีอิ๊วขาวเสริมไอโอดีน 15 กรัม"
ขอเมนูสุขภาพจากไข่,,ไข่ยัดไส้
วิธีการเตรียมไข้ สำหรับไข่ยัดไส้,,"1. ตีไข่ให้เข้ากันดี โดยไม่ต้องใส่เครื่องปรุง
2. กรองไข่ด้วยกระชอน เพื่อให้ได้เนื้อไข่ที่ละเอียด
3. ตั้งกระทะให้ร้อนใส่น้ํามันเล็กน้อย กลิ้งน้ำมันให้ทั่วกระทะ เทน้ํามันส่วนที่เหลือทิ้งไป
4. เทไข่ลงในกระทะ แล้วกลิ้งให้ทั่วกระทะ อย่างรวดเร็ว
5. พอไข่สุก เติมไส้ที่พักไว้ลงบนไข่ แล้วพับมุมให้เรียบร้อย
6. ตักใส่จาน กินกับข้าวสวยร้อน ๆ"
ขอสารอาหารจากไข่,,เป็นแหล่งโปรตีนคุณภาพ และมีแร่ธาตุสําคัญหลายชนิด เช่น วิตามินดี สังกะสี ช่วยเสริมระบบภูมิคุ่มกัน
ประโยชน์ของแครอท,,มีสารเบตาแคโรทีนสูง ต้านการอักเสบ เสริมสร้างระบบภูมิคุ้มกัน
มะเขือเทศ มีสารอาหารอะไรบ้าง,,มีวิตามินซีสูง ช่วยเสริมระบบภูมิคุ้มกัน และมีไลโคปีน ช่วยชะลอความเสื่อมของเซลล์ในร่างกาย
เห็ดหอม ให้สารอาหารอะไร ,,มีวิตามินดีสูง ช่วยเสริมระบบภูมิคุ้มกัน เนื้อหมูมีแร่ธาตุสังกะสีสูง
ตัวอย่างอาหาร 5 หมู่ ใน 1 วัน สำหรับเด็ก,,"มื้อเช้า ข้าวต้มไก่ กล้วย 1 ผล,
ว่างเช้า นม 1 แก้ว,
มื้อกลางวัน ข้าวหมูแดง ไข่ต้ม แตงกวา แครอทต้ม +น้ าซุป ชมพู่ 6 ชิ้น,
ว่างบ่าย นม 1 แก้ว,
มื้อเย็น ข้าวสวย ปลานึ่ง+ผักต้ม แกงจืดเต้าหู้ไข่ผักกาดขาว มะม่วง 1⁄2 ลูก"
ไข่ 1 ฟอง ให้สารอาหารเท่าไหร่,,ไข่ไก่ 1 ฟอง มีน้ำหนักเฉลี่ยประมาณ 50 กรัม ให้พลังงาน 80 กิโลแคลอรี มีโปรตีน 7 กรัม
วิธีการเลือกไข่ไก่,,"เลือกที่สดใหม่ ไม่บุบ แตกร้าวหรือเปื้อน ไข่สดจะจมน้ า ไข่ที่มีทรงอ้วนป้อม มีไข่แดงเยอะ
ไข่ขาวน้อย ไข่ที่มีทรงผอมเรียว มีไข่ขาวเยอะ ไข่แดงน้อย"
แนะนำมีวิธีการเก็บไข่ไก่,,"การเก็บไข่ไว้ในตู้เย็นที่อุณหภูมิ 4 – 8 องศาเซลเซียล หรือที่อุณหภูมิปกติที่มีอากาศถ่ายเทได้ดี โดยเอาด้านแหลมลงให้ด้านป้านอยู่ข้างบน 
ไข่แดงจะอยู่ตรงกลาง หากวางไข่ด้านป้านลง ไข่แดงก็จะลอยขึ้น ทำให้ไข่แดงแตกง่ายเวลาตอกไข่ ไม่ควรกะเทาะเปลือก หรือล้างไข่ 
เพราะจะทำให้เสียคุณภาพของไข่เก็บไว้ได้ไม่นาน รับประทานให้หมดภายใน 2 สัปดาห์ และล้างเปลือกไข่ให้สะอาดก่อนนำไปประกอบอาหาร"
วิธีการเลือกเนื้อหมู,,เนื้อแน่น เมื่อกดแล้วไม่บุ๋ม มีสีชมพูอ่อน มันสีขาว ไม่มีเม็ดสาคู (ไม่มีพยาธิ)
วิธีการเลือกเนื้อไก่ มีอะไรบ้าง,,เลือกที่เนื้อแน่น สีไม่ซีดหรือเขียวคล้ำ ไม่มีเมือกหรือรอยเขียวช้ำ
การเลือกซื้อกุ้ง ควรเลือกยังไง,,หัวติดกับลำตัว ตาใส ตัวมีสีเขียวปนน้ำเงินใส เปลือกสีเขียวแกมน้ำเงินใส ไม่มีกลิ่นเหม็น
แนะนำวิธีการเลือกซื้อปลาหน่อย,,เลือกตาใส เหงือกแดง เนื้อแน่น เกล็ดแนบกับหนัง ไม่มีกลิ่น
แนะนำวิธีการเก็บเนื้อสัตว์,,"การเก็บเนื้อสัตว์ในที่อุณหภูมิต่ำกว่า 10 องศาเซลเซียล ไม่เกิน 1 วัน หรือที่อุณหภูมิ ต่ำกว่า 4 องศาเซลเซียส ไม่เกิน 7 วัน 
แต่ควรนำมาใช้ให้เร็วที่สุดเท่าที่จะทำได้ ถ้าเป็นเนื้อบด ต้องใช้ภายใน 24 ชั่วโมง หากเก็บไว้นานกว่านั้นควรรวนให้สุกก่อน ล้างเนื้อสัตว์ให้สะอาดก่อนหั่น"
วิธีการเลือกผักให้ได้สารอาหารครบ,,"เลือกผักที่สี ขนาด รูปร่าง ความอ่อน-แก่ สด ต้นและใบไม่เปื่อยยุ่ย หรือเหี่ยวแห้งช้ำ จนผิดลักษณะปกติทั่วไป เลือกซื้อผักตามฤดูกาล 
จะได้ผักที่มีคุณภาพ ราคาถูก และควรเลือกผักที่ปลอดสารพิษ หรือผักที่ปลูกด้วยวิธีเกษตรอินทรีย์"
แนะนำวิธีการเลือกผักเป็นใบ,,เลือกต้นที่มีสีเขียวสด ไม่เหี่ยวช้ำ ใบติดแน่นกับโคน เช่น คะน้า ผักบุ้ง กวางตุ้ง ผักกาดหอม เป็นต้น
บอกวิธีการเลือกผักแบบเป็นหัว,,เลือกหัวที่มีน้ำหนักเหมาะสมกับขนาด เนื้อแน่น ไม่มีตำหนิ เช่น กะหล่ำปลี เลือกหัว แน่นๆ หัวไชเท้า เลือกหัวที่ตรง ขนาดกลางๆ มีผิวเรียบ เป็นต้น
ตัวอย่างผักที่เป็นใบ,,คะน้า ผักบุ้ง กวางตุ้ง ผักกาดหอม
ตัวอย่างผักที่เป็นหัว,,กะหล่ำปลี
วิธีการเลือกกะหล่ำปลี,,กะหล่ำปลี เลือกหัว แน่นๆ หัวไชเท้า เลือกหัวที่ตรง ขนาดกลางๆ มีผิวเรียบ 
ขอวิธีการเลือกผักที่เป็นผล,,ตามลักษณะเฉพาะของผักนั้น เช่น ฟักทอง เลือกผลหนัก เนื้อแน่นสีเหลืองอม เขียว ผิวขรุขระแตงร้าน -แตงกวา เลือกผิวสีเขียวริ้วขาว ผิวตึง เป็นต้น
ขอวิธีการเลือกผักที่เป็นฝัก,,เลือกฝักอ่อนๆ สีเขียวสดหรือตามลักษณะของผักนั้นๆ เนื้อแน่น ไม่ฝ่อ ฝักแก่ จะมีสีขาวนวล เช่น ถั่วฝักยาว ถั่วลันเตา เป็นต้น
วิธีการเลือกซื้อผลไม้,,"เลือกซื้อผลไม้ตามฤดูกาล เลือกความอ่อนแก่ของผลไม้ เพราะผลไม้แต่ละชนิดจะมีรสชาติดีที่สุดเพียงระยะเดียว เช่น ผลไม้ที่กินเมื่อสุก 
ได้แก่ มะละกอ ทุเรียน และซื้อตามงบประมาณที่มี หากมีงบจำกัด ควรซื้อผลไม้ที่มีคุณค่าทางโภชนาการที่สูงกว่าและมีส่วนที่กินได้มากกว่า เช่น ซื้อกล้วยแทน
มังคุด เป็นต้น"
วิธีการเตรียมผักที่เป็นใบ,,การเตรียมอาหารที่เป็นใบ เช่น คะน้า ผักกาด เด็ดใบออกจากต้น กะหล่ำ ผักกาดหอม ลอกออกเป็นใบๆ เพื่อล้างเศษดินที่ติดอยู่ในซอก
วิธีการเตรียมผักที่อยู่ในดิน,,ผักที่เปื้อนดิน เช่น หัวไชเท้า มันฝรั่ง มะเขือเทศ พริก มันเทศ แช่ในน้ำเพื่อให้ดินหลุดออกได้ง่าย ขณะล้างใช้มือถูกเบาๆ
วิธีการเตรียมผักที่มีเปลือก,,ผักที่มีเปลือก เช่น ฟักทอง หอมใหญ่ ให้ล้างทั้งเปลือกแล้วจึงปอกเปลือก
วิธีการล้างผักปลอดสารพิษ,,"1. ใช้โซเดียมไบคาร์บอเนต (เบ็กกิ้งโซดา) 1 ช้อนโต๊ะ/น้ าอุ่น 20 ลิตร แช่นาน 15 นาที จากนั้นล้างด้วย น้ำสะอาด ลดปริมาณสารตกค้างได้ ร้อยละ 80 - 95
2. ใช้น้ำสะอาดไหลผ่านหลายๆ ครั้ง เด็ดผักเป็นใบ ลดปริมาณสารตกค้างได้ ร้อยละ 54 - 63
3. ใช้ด่างทับทิม 20-30 เกล็ดผสมน้ำ 4 ลิตร แช่นาน 10 นาที จากนั้นล้างด้วยน้ำสะอาดลดปริมาณสารตกค้างได้ ร้อยละ 35-43
4. ใช้น้ำส้มสายชู 1 ช้อนโต๊ะ/น้ำ 4 ลิตร แช่นาน 10 นาที จากนั้นล้างด้วยน้ำสะอาด ลดปริมาณสารตกค้างได้ ร้อยละ 29-38
5. ใช้เกลือป่น 1 ช้อนโต๊ะผสมน้ำ 4 ลิตร แช่นาน 10 นาที จากนั้นล้างด้วยน้ำสะอาด ลดปริมาณสารตกค้างได้ ร้อยละ 27-38"
ขอตัวอย่างเมนูไข่เจียว,,ไข่เจียวพระอาทิตย์
ส่วนผสมไข่เจียวพระอาทิตย์มีอะไรบ้าง,,"- ไข่ไก่ 1 ฟอง
- ข้าวสวย 1 ทัพพี
- ซอสปรุงรส 1 ช้อนโต๊ะ
- น้ำมันพืช 2 ช้อนโต๊ะ
- พริกไทยเล็กน้อย"
ขอวิธีทำไข่เจียวพระอาทิตย์,,"1. ตอกไข่ใส่ถ้วย ปรุงรสด้วยซอสปรุงรส พริกไทย ตีให้เข้ากัน โดยไม่ต้องตีจนฟู ใส่ข้าวสวยลงไปตีให้เข้ากัน
2. ตั้งกระทะใส่น้ำมัน รอให้ร้อน ใส่ไข่ที่ตีไว้แล้วลงไปทอดให้สุกกรอบนอกนุ่มใน ตักใส่จานโรยหน้า ด้วยผักชี เสิร์ฟพร้อม ซอสมะเขือเทศ"
แนะนำวิธีทำไข่ต้ม,,การต้มไข่ให้ปอกเปลือกง่ายให้ใส่เกลือหรือน้ำส้มสายชู ประมาณ 1⁄2 ช้อนชา และเมื่อได้ตักไข่ออกจากหม้อให้ใส่ลงในน้ำเย็นจัดทันที
ขอเมนูไข่สำหรับลดน้ำหนัก,,ไข่ดาวน้ำ
เคล็ดลับการทำไข่เจียวสุขภาพ,,เพิ่มผักสับเล็กๆ ผสมในไข่เจียว ทำให้มีสีสันน่ากิน และเพิ่มคุณค่าทางโภชนาการอีกด้วย เช่น แครอท หอมแดง หอมใหญ่ มะเขือเทศ
ขอเมนูอาหารเช้า,,ยำไข่ต้ม
ส่วนประกอบยำไข่ต้มมีอะไรบ้าง,,"ส่วนประกอบ
- ไข่ต้ม 2 ฟอง
- มะเขือเทศหั่นแว่น 1 ซ้อนโต๊ะ
- ขึ้นฉ่ายหั่นหยาบ 1 ช้อนโต๊ะ
- หอมหัวใหญ่หั่น 1 ช้อนโต๊ะ
- พริกขี้หนูซอย 1 ช้อนชา
- ผักกาดหอม (แต่งจาน) 2 - 3 ใบ
- น้ำปลาเสริมไอโอดีน 1 ช้อนชา
- น้ำมะนาว 2 ช้อนชา
- น้ำตาลทราย 1 ช้อนชา"
วิธีการเลือกฟักทองสำหรับทำอาหารสุขภาพ,,เลือกฟักทอง ลูกใหญ่เลือกที่มีน้ำหนักมาก เปลือกมีสีเข้มและผิวขรุขระ ลูกเล็กเลือกลูกที่ผิวเรียบมัน จะได้ฟักทองที่มีเนื้อแน่น
ขอเมนูผัดไข่,,"แตงกวาผัดไข่, บวบผัดไข่, เห็ดหูหนูผัดไข่, หน่อไม้ผัดไข่, ผัดกาดดองผัดไข่, ผัดวุ้นเส้นใส่ไข่"
วิธีการเลือกแตงกวาสำหรับทำอาหารสุขภาพ,,เลือกแตงกวาที่มีผิวเขียว เนื้อจะกรอบกว่าและมีเมล็ดเล็กกว่าผิวนวล ซึ่งมีเนื้อน้อยและเหนียว
วิธีการเลือกซื้อบวบ,,การเลือกซื้อบวบ ขั้วต้องสดเขียว ผลยาวตรง สีเขียวเข้ม เหลี่ยมเป็นสันคม ไม่หักงอ
วิธีลดความขมของมะระ,,มะระแช่ในน้ำเกลือก่อนน ามาผัดจะช่วยลดความขมลงได้
วิธีเพิ่มสารอาหารของพะโล้,,เพื่อให้พะโล้มีคุณค่าทางโภชนาการมากขึ้น ควรเติมเต้าหู้ (เต้าหู้แข็ง เต้าหู้ทอด) และใส่ผัก เช่น แครอท คะน้า เพิ่มได้
ตัวอย่างอาหารจานเดียวจากไข่,,ข้าวผัดไข่
ขอเมนูจากไข่ 1 เมนู,,ผัดไทยห่อไข่
ขอตัวอย่างเมนูมื้อเช้า,,"ข้าวผัดกระเทียมกะเพรา, แกงจืดมะระสอดไส้"
ตัวอย่างอาหารสุขภาพมื้อกลางวัน,,"ข้าวยำปักษ์ใต้, แกงจืดมะระสอดไส้"
ตัวอย่างของว่างสุขภาพ,,"เต้าฮวยฟรุตสลัด, แตงโม, นมพร่องมันเนย"
ตัวอย่างอาหารมื้อเย็น,,"ข้าวกล้อง, ไข่ตุ๋นผักสามสี, แกงเหลืองมะละกอ"
วิธีการรับประทานอาหารเพื่อการดูแลสุขภาพที่เหมาะสม,,เคี้ยวอาหารให้ละเอียด
